Name,Divisions,Latitude,Longitude,Address,Normal_site,Auto_site,Glamping,Caravan,Restroom,Shower_room,Sink,Homepage
W글램핑,"일반야영장,글램핑",35.3932118,127.8873465,경상남도 산청군 산청읍 내리 ,1,0,14,0,2,2,2,http://www.wglamping.com/default/
진안풍경 소리 펜션 캠핑장,일반야영장,35.9025407,127.5711562,전북 진안군 안천면 상배실길 36-19,1,0,0,1,1,1,1,http://noricamp.com/site/%EC%A7%84%EC%95%88%ED%92%8D%EA%B2%BD%20%EC%86%8C%EB%A6%AC%20%ED%8E%9C%EC%85%98%20%EC%BA%A0%ED%95%91%EC%9E%A5
초락나루펜션&글램핑,"일반야영장,글램핑",36.9955832,126.5271023,충청남도 당진시 석문면 감목길 154,1,0,10,0,6,6,3,http://crnr.idkorea.biz/
가평글램핑클럽레스피아 (구 (주)라벤트리코리아),글램핑,37.6622328,127.5434061,경기도 가평군 설악면 위곡리 ,1,0,21,0,2,2,1,http://lespia.co.kr/intro.html
아쿠아마린캠핑장,"일반야영장,글램핑",38.0477085,127.3765695,경기 포천시 이동면 성장로1289번길 204,1,0,22,0,0,0,0,http://aquamarineglamping.com/
광릉해오름캠핑장&글램핑,"일반야영장,글램핑",37.778773,127.146514,경기 포천시 소흘읍 광릉수목원로874번길 9,1,0,8,0,0,0,0,http://heorumps.com/
산중호걸 글램핑,"일반야영장,카라반,글램핑",38.0907243,127.3715966,경기 포천시 이동면 금강로6263번길 182-73,1,0,18,2,0,0,0,https://sjhkglamping.modoo.at/
(주)디노담양힐링파크 지점,"일반야영장,카라반,글램핑",35.2715103,126.961211,전남 담양군 봉산면 탄금길 9-26,2,0,22,2,4,3,2,http://xn--jk1bk1k8rgckfrnam9heta617d.kr/
랩도그빌애견캠핑장 ,자동차야영장,38.0079579,127.0801557,경기도 연천군 청창로200번길 33-0 ,2,0,0,0,1,1,1,http://lapdogvill.xyz/
명지산카라반오토캠핑장,"일반야영장,자동차야영장,카라반,글램핑",37.9814614,127.4474625,경기도 가평군 북면 적목리 ,2,0,15,26,5,5,5,http://mgocamping.com/
블루마운틴 ,"자동차야영장,카라반,글램핑",35.9641281,128.7408376,대구광역시 동구 능성동 산 47-1,2,0,7,1,9,9,1,http://bluemauntain.itrocks.kr/
흙집섬진강풍경 ,일반야영장,35.1848235,127.6306998,경상남도 하동군 화개면 덕은리 ,2,0,0,0,1,1,1,http://mudhouse.maan.kr/
MK골드캠프(골드펫리조트),"일반야영장,카라반,글램핑",37.2169109,127.1369537,경기도 용인시 기흥구 고매동 기흥단지로 398 ,2,0,17,3,2,2,2,http://www.noricamp.com/site/MK%20%EA%B3%A8%EB%93%9C%20%EC%BA%A0%ED%94%84
에이스카라반,"자동차야영장,카라반",37.1650174,127.2437891,경기 용인시 처인구 이동읍 이원로 547,2,0,0,5,2,2,2,http://www.acepensions.co.kr/
대덕산농원캠핑장 ,"일반야영장,글램핑",35.3492738,126.4505761,전남 영광군 법성면 대덕길2길 105,3,0,11,0,6,6,1,http://noricamp.com/site/%EB%8C%80%EB%8D%95%EC%82%B0%EB%86%8D%EC%9B%90%EC%BA%A0%ED%95%91%EC%9E%A5
오커빌리지,"자동차야영장,카라반,글램핑",37.5087212,127.5641006,경기도 양평군 용문면 연수리 ,3,0,2,5,2,1,1,http://www.ocher.co.kr/
프로방스펜션,"일반야영장,카라반,글램핑",35.331738,126.380373,전라남도 영광군 백수읍 해안로 677,3,0,3,0,2,2,1,https://pvg.modoo.at/
화니캠핑앤글램핑 ,"자동차야영장,글램핑",37.6467049,128.0343107,강원도 홍천군 동면 좌운리 120-1,3,0,10,0,2,2,1,http://www.hwaniglamping.co.kr/
